feature,avg_importance,std_importance,min_importance,max_importance
is_rush_hour,7.6468915939331055,0.0,7.6468915939331055,7.6468915939331055
precipitation,7.195847034454346,0.0,7.195847034454346,7.195847034454346
traffic_lag_1h,4.465713977813721,0.0,4.465713977813721,4.465713977813721
day_of_week,3.7999777793884277,0.0,3.7999777793884277,3.7999777793884277
traffic_std_24h,0.9572119116783142,0.0,0.9572119116783142,0.9572119116783142
traffic_lag_24h,0.9142916798591614,0.0,0.9142916798591614,0.9142916798591614
traffic_mean_6h,0.8659534454345703,0.0,0.8659534454345703,0.8659534454345703
traffic_mean_24h,0.8102598786354065,0.0,0.8102598786354065,0.8102598786354065
humidity,0.7159139513969421,0.0,0.7159139513969421,0.7159139513969421
sensor_reliability,0.6196832060813904,0.0,0.6196832060813904,0.6196832060813904
visibility,0.6080347299575806,0.0,0.6080347299575806,0.6080347299575806
traffic_lag_6h,0.5894976854324341,0.0,0.5894976854324341,0.5894976854324341
week_of_year,0.5691043734550476,0.0,0.5691043734550476,0.5691043734550476
temperature,0.5464712977409363,0.0,0.5464712977409363,0.5464712977409363
wind_speed,0.5350678563117981,0.0,0.5350678563117981,0.5350678563117981
hour,0.4892594516277313,0.0,0.4892594516277313,0.4892594516277313
traffic_std_6h,0.43603014945983887,0.0,0.43603014945983887,0.43603014945983887
has_roadwork,0.28991594910621643,0.0,0.28991594910621643,0.28991594910621643
month,0.2516910433769226,0.0,0.2516910433769226,0.2516910433769226
is_weekend,0.12768709659576416,0.0,0.12768709659576416,0.12768709659576416
is_school_break,0.09386414289474487,0.0,0.09386414289474487,0.09386414289474487
has_accident,0.09288699924945831,0.0,0.09288699924945831,0.09288699924945831
has_event,0.05783097818493843,0.0,0.05783097818493843,0.05783097818493843
is_holiday,0.032064542174339294,0.0,0.032064542174339294,0.032064542174339294
is_tourist_season,0.0,0.0,0.0,0.0
